"","track_id","city_id","opening_trck","length"
"142",3315,265,1992,168
"143",2622,118,0,9
"144",3589,95,1997,1049
"145",2625,118,0,9
"146",2621,118,0,26
"147",286,14,1856,9362
"148",2604,118,0,620
"149",1941,114,1929,641
"150",2605,118,0,425
"151",4899,111,0,1146
"152",2595,118,0,1130
"153",2606,118,0,1637
"154",2608,118,0,152
"155",2609,118,0,237
"156",2610,118,0,30
"157",1946,114,1984,4006
"158",2612,118,0,59
"159",2613,118,0,65
"160",2611,118,0,15
"161",297,14,1906,749
"162",1944,114,1908,42470
"163",9750,48,0,15
"164",2617,118,0,241
"165",2615,118,0,64
"166",2616,118,0,153
"167",2618,118,0,30
"168",2619,118,0,59
"169",2630,118,0,108
"170",2614,118,0,15
"171",1945,114,1979,7128
"172",301,14,1975,6450
"173",1950,114,2000,3755
"174",7479,328,1994,117
"175",2643,118,0,198
"176",1947,114,1979,624
"177",2626,118,0,164
"178",2628,118,0,92
"179",2642,118,0,269
"180",2629,118,0,132
"181",2640,118,0,267
"182",2641,118,0,266
"183",2627,118,0,293
"184",2648,118,0,258
"185",3298,265,2007,96
"186",3297,265,2007,92
"187",3299,265,1985,46
"188",3301,265,2006,126
"189",326,107,2007,4125
"190",5344,307,2013,945
"191",2631,118,0,40
"192",3590,95,1997,36
"193",2635,118,0,57
"194",2636,118,0,57
"195",2633,118,0,167
"196",9751,48,0,54
"197",2646,118,0,34
"198",410,107,2014,7323
"199",2637,118,0,59
"200",2634,118,0,104
"201",2638,118,0,66
"202",2645,118,0,257
"203",2639,118,0,108
"204",2647,118,0,203
"205",2649,118,0,229
"206",2632,118,0,104
"207",1952,114,2010,19230
"208",1956,114,1931,25688
"209",2620,118,0,455
"210",2650,118,0,1221
"211",2651,118,0,737
"212",2652,118,0,732
"213",6008,102,0,90
"214",2661,118,0,180
"215",5345,307,2013,366
"216",7480,328,1994,36
"217",5351,307,2013,729
"218",5363,307,2013,336
"219",5352,307,2013,733
"220",10310,91,1910,4294
"221",5353,307,2013,37
"222",7482,283,2014,100
"223",5364,307,2013,59
"224",5354,307,2013,36
"225",7481,328,1994,35
"226",5365,307,2013,60
"227",93,4,2005,9447
"228",9752,48,0,155
"229",2644,118,0,1134
"230",7483,283,2014,183
"231",1953,114,1930,2541
"232",1954,114,1929,4317
"233",1955,114,1931,16110
"234",2653,118,0,95
"235",1957,114,1933,12104
"236",2654,118,0,198
"237",2655,118,0,116
"238",2658,118,0,198
"239",2657,118,0,172
"240",2660,118,0,18
"241",2656,118,0,39
"242",2664,118,0,233
"243",2665,118,0,203
"244",2659,118,0,21
"245",1967,114,1990,4200
"246",1960,114,1974,6847
"247",1965,114,1974,9844
"248",1961,114,1975,2278
"249",333,107,2010,3403
"250",1963,114,1916,1165
"251",2662,118,0,133
"252",2663,118,0,312
"253",2671,118,0,743
"254",2668,118,0,1074
"255",2669,118,0,1077
"256",7484,283,2014,181
"257",2672,118,0,30
"258",5052,82,0,445
"259",10311,48,0,437
"260",7485,283,2014,599
"261",1966,114,1988,4532
"262",1962,114,1990,1537
"263",1964,114,1971,2652
"264",2666,118,0,233
"265",2670,118,0,743
"266",1968,114,1998,5846
"267",2667,118,0,203
"268",2677,118,0,29
"269",3300,265,1985,59
"270",7487,283,2014,30
"271",9753,48,0,7550
"272",5053,82,0,114
"273",3599,95,1997,44
"274",7486,283,2014,106
"275",10312,48,0,439
"276",454,69,1969,907
"277",529,69,1868,361
"278",1969,114,2000,10241
"279",2673,118,0,491
"280",2674,118,0,35
"281",1970,114,1902,2598
"282",3520,95,2012,1139
"283",2675,118,0,193
"284",1972,114,1993,772
"285",3519,95,2012,1096
"286",2676,118,0,490
"287",3596,95,1997,15
"288",3595,95,1997,15
"289",3594,95,1997,63
"290",1971,114,1902,1254
"291",3154,265,1994,1460
"292",2678,118,0,35
"293",3173,265,1994,2497
"294",2679,118,0,193
"295",6442,148,2014,2821
"296",3523,95,2012,204
"297",3522,95,2012,236
"298",438,69,2012,1492
"299",1982,147,1907,180
"300",1973,147,1907,5571
"301",1975,147,1907,1201
"302",1985,147,1900,3034
"303",1978,147,1907,488
"304",2682,118,0,371
"305",2680,118,0,89
"306",2681,118,0,89
